ProbeName	oil_1_1_Median	oil_1_3_Median	oil_2_4_Median	oil_2_5_Median	oil_2_6_Median	oil_3_7_Median	oil_3_8_Median	oil_3_9_Median	no_4_10_Median	no_4_11_Median	no_5_13_Median	no_5_14_Median	no_5_15_Median	no_6_16_Median	no_6_17_Median	no_6_18_Median	oil_1_19_Median	no_4_20_Median
CUST_2719_PI428634872	-3.360306074	-3.006398151	-2.755307176	-2.54826331	-3.190082484	-3.237146831	-3.221402384	-3.273980954	-2.47958784	-2.44393917	-2.407432234	-2.202474965	-2.194243835	-2.771671104	-2.951520534	-2.692219316	-3.062169467	-2.49894587
CUST_271_PI428634872	-3.193199498	-3.823468977	-3.796936933	-3.526273708	-3.400265862	-3.736213535	-3.50687256	-3.701579264	-4.05375643	-4.927990371	-4.12207687	-4.0560863	-4.326362802	-4.177605027	-3.644694436	-3.989419043	-3.695691653	-4.748943637
CUST_2720_PI428634872	-2.690645012	-1.737716415	-1.967859473	-2.187058062	-2.529915713	-1.851887723	-2.208539491	-1.721437298	-1.299214019	-1.324207479	-1.086484547	-1.009978342	-1.050553662	-1.770609518	-1.967761481	-2.076195523	-2.479004569	-1.484062557
CUST_2721_PI428634872	-0.676307425	-0.986746379	-0.360365386	-0.920588074	-0.627508036	-1.136485423	-1.03212451	-1.055707809	-0.679191274	-1.075482167	-0.62764658	-0.444501665	-0.545003644	-1.266152894	-1.619930354	-1.222524579	-1.218866009	-0.547031778
CUST_2722_PI428634872	-2.389730101	-1.94466233	-2.091918317	-2.175067305	-2.111627347	-2.332816844	-2.302933261	-2.380101851	-1.911043789	-2.092318195	-1.348773492	-1.297954913	-1.389449321	-2.705967059	-2.752318822	-2.906312574	-2.722857459	-1.996862031
CUST_2723_PI428634872		-7.162596901	-6.676298966	-6.280448617	-7.116839217	-7.09820915	-6.011637286	-6.368587893		-7.534197522	-7.701238365		-7.316357824	-7.355125719	-6.667236545		-7.205462934	-7.325842527
CUST_2724_PI428634872		-7.459675997	-7.689394014	-7.253451441	-6.855252222	-7.056659165	-6.903214808	-7.075264997	-6.228507865	-6.88003159	-6.22673679	-6.548494925	-6.432785604	-6.998910874	-6.944874136	-7.494794606	-6.326153476	-6.739371365
CUST_2725_PI428634872	-4.721106449	-2.455167391	-4.315715591	-4.962890642	-4.889093209	-4.448036553	-3.8517705	-4.575879217	-4.312623262	-4.660378977	-4.567038198	-4.348436419	-4.360147419	-4.974868529	-5.336373662	-5.322742756	-5.045298249	-4.788462916
CUST_2727_PI428634872		-7.267945128	-7.708382782	-7.490593096		-6.7306022	-7.408132272	-7.249795236		-6.997893685	-6.891662647	-7.405015787	-6.82854143	-7.561488562	-6.930194793	-6.6535004		-7.655256357
CUST_2728_PI428634872	-1.64472631	-1.838310303	-1.724733548	-1.568356527	-1.566273385	-2.142259942	-1.787042122	-2.49659119	-2.910431595	-2.952276208	-2.26758586	-2.059604532	-2.163583982	-2.413572657	-1.689873892	-1.791147199	-1.84628841	-2.514838147
CUST_2729_PI428634872	-1.396675729	-1.062282332	-1.228981103	-0.812914502	-1.28154542	-0.902092486	-0.797146548	-0.83792123	-0.430176258	-0.08086846	-0.056175362	-0.100759548	-0.117911696	-0.246460685	-0.492886097	-0.179888576	-1.021416394	-0.316919873
